season,param,sub_param,mean,var
2007,intercept,home,0.015074159621690654,3.1167064969138205e-5
2007,intercept,pass,0.07865361375273541,1.1700462251245656e-4
2007,variance,model,0.990841971795544,5.723573873376472e-5
2007,variance,player,2.447751487615991e-4,4.479469056281528e-9
2007,variance,play_type,0.20580654508501356,0.27014408419568847
2007,position,ILB,0.525702088395169,0.059671442277759064
2007,position,OG,0.5990176894755241,0.15983530605050306
2007,position,DT,0.6494464262029112,0.11268547935771978
2007,position,SWR,0.6801647017113532,0.26013299010181173
2007,position,CB,0.7931386974130237,0.16054491193841147
2007,position,DE,0.8675061428851836,0.14440174249065177
2007,position,SCB,0.8723244507821686,0.31988113328498324
2007,position,TE,0.886311921125468,0.19363743990893675
2007,position,QB,1.0059020200593167,0.48067125427520846
2007,position,WR,1.0812840606861074,0.15226821564675672
2007,position,S,1.0907449698979814,0.21748210565143483
2007,position,OLB,1.1427275185955117,0.5246284263727059
2007,position,OT,1.163333422576309,0.22508633943718875
2007,position,RB,1.3986789678732938,0.30539910373627255
2007,position,C,2.4893167443957465,0.8402035459808644
2008,intercept,home,0.01809560035940936,2.9346534993709252e-5
2008,intercept,pass,0.0666052821200778,1.1338722569973176e-4
2008,variance,model,0.9904126327563068,5.8046318371417574e-5
2008,variance,player,2.583800599027365e-4,3.3618087207748533e-9
2008,variance,play_type,0.17120916110174345,0.21989005707073392
2008,position,C,0.5888276456338324,0.15351734725434604
2008,position,DE,0.600551673045572,0.13210786815954184
2008,position,ILB,0.6773435628059103,0.07978674918190429
2008,position,OLB,0.6790492420006775,0.2980297977698493
2008,position,OG,0.7089643217311996,0.3490599432920633
2008,position,OT,0.8572464706595296,0.29493221531100466
2008,position,DT,0.8749251000230032,0.16033313315814007
2008,position,TE,0.9800032435458763,0.20221016183895804
2008,position,QB,1.0780611733131884,0.23642308769269244
2008,position,WR,1.0890177490883861,0.2307970090836744
2008,position,S,1.208424947080291,0.2668971821079276
2008,position,RB,1.2926513683402,0.18688328599593296
2008,position,CB,1.378731659133481,0.25653372350052134
2008,position,SCB,1.5547544922998107,0.539787518889469
2008,position,SWR,2.173250412541384,0.5750665774014158
2009,intercept,home,0.015545411919364736,3.084344757404865e-5
2009,intercept,pass,0.0773437890651727,1.2547825063395624e-4
2009,variance,model,0.9891999853284308,6.085931340490279e-5
2009,variance,player,2.4344311216602528e-4,4.080653741300965e-9
2009,variance,play_type,0.24484825963852627,0.3700348953092032
2009,position,ILB,0.4167925758800568,0.04844042950055033
2009,position,DT,0.6266788069291742,0.09913210845742394
2009,position,OG,0.6374361522367065,0.09607528230838457
2009,position,DE,0.6638128407500477,0.10120545450966688
2009,position,QB,0.7072352778833662,0.32906124630876576
2009,position,OT,0.7239696381729233,0.1654545599622156
2009,position,C,0.7505506851604384,0.21610140370127612
2009,position,SCB,0.7876878191106315,0.31225837852119515
2009,position,OLB,0.7950601728921132,0.1935419801263477
2009,position,RB,0.9354568132586718,0.15882178713554615
2009,position,S,1.0075053943667016,0.2391881944079972
2009,position,TE,1.1446855584804156,0.3599672745107016
2009,position,CB,1.437997107998692,0.24925015554742042
2009,position,SWR,1.5809898787856147,0.6938157639722521
2009,position,WR,2.724360056323863,0.293484678382164
2010,intercept,home,0.008916176752661376,3.038862556300069e-5
2010,intercept,pass,0.09381781248519266,1.241750037026509e-4
2010,variance,model,0.9915724630814514,5.703435639415509e-5
2010,variance,player,2.1299063822024508e-4,3.3033787095571698e-9
2010,variance,play_type,0.32805400000015994,0.4759921022613363
2010,position,TE,0.4960435575773752,0.2154122322573092
2010,position,CB,0.6498711949932285,0.1791849633326878
2010,position,OT,0.7221961185481373,0.27981802702009484
2010,position,ILB,0.7485091366419565,0.11355626030518856
2010,position,RB,0.7870172901223392,0.17216414513792036
2010,position,DT,0.7905710568861876,0.175889554939699
2010,position,S,0.8158398376090191,0.20583696888726327
2010,position,DE,0.8296954043491536,0.21509744388401578
