season_end,param,sub_param,mean,var
2009,intercept,home,0.016458099618226557,9.746525576313554e-6
2009,intercept,pass,0.0805847881664858,4.3674379607635286e-5
2009,variance,model,0.9900083720584877,1.8071483416165137e-5
2009,variance,player,2.7291441158572153e-4,1.755745834133893e-9
2009,variance,play_type,0.2449660335207719,0.23599370804168815
2009,position,DT,0.5439406835827094,0.055749707707961484
2009,position,DE,0.616352418356259,0.045892296854833085
2009,position,OLB,0.6293091537572457,0.16492619876289352
2009,position,OT,0.6954825686284525,0.11138220117410554
2009,position,TE,0.7072209919387249,0.10155591160090233
2009,position,ILB,0.709469409019502,0.06775491678030443
2009,position,SCB,0.8732115183609699,0.1745115113042992
2009,position,OG,0.9617988760710237,0.14847431125003577
2009,position,C,1.0556047411482794,0.3299999569511732
2009,position,CB,1.1665919196825023,0.08393728097564765
2009,position,RB,1.2900212677466152,0.06928665145688247
2009,position,S,1.3930562938886553,0.06905991362929115
2009,position,WR,1.5038486028656672,0.10360477495722341
2009,position,QB,1.6915520772164137,0.2539068360493168
2009,position,SWR,1.7797137097062512,0.2662642466662316
2010,intercept,home,0.014469030488139103,1.0185604184078205e-5
2010,intercept,pass,0.08747957737526305,3.7999812654865215e-5
2010,variance,model,0.9893710140867382,1.9042466302695555e-5
2010,variance,player,2.599479361146146e-4,1.766527608545722e-9
2010,variance,play_type,0.42805470505550414,0.24404650407721878
2010,position,ILB,0.5449184860377365,0.062020727924201054
2010,position,DT,0.5947685742288495,0.0630778626897763
2010,position,TE,0.6076338208077985,0.10238726689992445
2010,position,OT,0.6269287035095888,0.0855154183140172
2010,position,OG,0.723324864699322,0.07526862548176359
2010,position,C,0.7959862388405481,0.15200350169550697
2010,position,SCB,0.9321349242715269,0.19492698069219713
2010,position,OLB,0.9432792469625688,0.17074438882046522
2010,position,DE,0.9546443580359614,0.115449748691741
2010,position,CB,1.1398598052599587,0.09171449468966962
2010,position,QB,1.2869933518210113,0.20199627138084503
2010,position,S,1.4080503855897364,0.07648757708009354
2010,position,RB,1.6219451133674734,0.07197531879889968
2010,position,WR,1.7038572672936236,0.06446359884978488
2010,position,SWR,2.2810507856046067,0.29266796109346405
2011,intercept,home,0.014680951872017147,1.0167879830942561e-5
2011,intercept,pass,0.08919534173868857,4.281251591667354e-5
2011,variance,model,0.9900960082182719,1.8376768302061587e-5
2011,variance,player,2.563066811767309e-4,1.4733848322944827e-9
2011,variance,play_type,0.2583503322106649,0.23922965135780572
2011,position,ILB,0.4291154534924821,0.04350917732760616
2011,position,DT,0.44815446072395726,0.0791686412946366
2011,position,TE,0.5784638037883018,0.06250222422839434
2011,position,OLB,0.7211426777165482,0.17305063058259545
2011,position,OG,0.7702009080682177,0.07838366112196206
2011,position,OT,0.7841689466143378,0.08619409802536243
2011,position,C,0.9165859718333891,0.3053887403014675
2011,position,CB,0.9503136279508402,0.09290773439001762
2011,position,DE,1.070795428418794,0.06431491360800876
2011,position,RB,1.2296012643352365,0.06511455767317531
2011,position,S,1.292453944770683,0.08317077621802169
2011,position,WR,1.387721921300105,0.07303993550262491
2011,position,SCB,1.4895938747341329,0.3044003875603967
2011,position,SWR,1.919417983679473,0.2588605619581248
2011,position,QB,2.4850112160211983,0.2369810162917144
2012,intercept,home,0.012820419069394809,9.711785655749333e-6
2012,intercept,pass,0.09483907890625033,4.098013132650047e-5
2012,variance,model,0.9901949357570579,1.9151791090701457e-5
2012,variance,player,2.724805338908934e-4,1.4049400592296924e-9
2012,variance,play_type,0.16426024530886785,0.2045700090923193
2012,position,TE,0.5475938015732723,0.07772146945249324
2012,position,ILB,0.6130454775535503,0.048255767034957965
2012,position,OT,0.6743877301869465,0.08253698344710111
2012,position,DT,0.8080354133902892,0.06810563666883944
2012,position,CB,0.8613318038396802,0.07214708184381677
2012,position,C,0.8698497007643535,0.17039265704209416
2012,position,S,0.9365459982188503,0.06817497165066008
2012,position,SCB,0.9448418097225496,0.20177239904833055
2012,position,OLB,1.0372680755269768,0.19267064595479017
2012,position,OG,1.1536614064516058,0.11046666918218603
2012,position,DE,1.1930597023781284,0.05432490866124263
2012,position,RB,1.2665744891391852,0.07596129423101054
2012,position,SWR,1.288098731497739,0.22081981992755031
2012,position,WR,1.3191553067430317,0.05976629750699499
2012,position,QB,1.932866727755119,0.17108115191604928
2013,intercept,home,0.015290333593706665,9.799823389795946e-6
2013,intercept,pass,0.09192111024129185,4.071538359757819e-5
2013,variance,model,0.9898451838783175,1.936195962806783e-5
2013,variance,player,2.6787458357540944e-4,1.5726525884410786e-9
2013,variance,play_type,0.4047128273968569,0.28954261794472136
2013,position,DT,0.5690519230493077,0.03909898560549868
2013,position,OT,0.7110537390278024,0.11394494370485314
2013,position,OLB,0.7691402033184346,0.2256688511562544
2013,position,OG,0.8156317484140133,0.1926202632904202
2013,position,SCB,0.8271429521974458,0.18243766428370442
2013,position,ILB,0.8416172913914151,0.06652531617406296
2013,position,S,0.877453586942746,0.11414720413462856
2013,position,QB,0.9865806141622344,0.28316121667240723
2013,position,TE,1.0475580247386374,0.12057138282073916
2013,position,CB,1.0645210500719866,0.12938151178597432
2013,position,RB,1.2231767026132718,0.06644919005910216
2013,position,DE,1.2717492677534539,0.060931435285555134
2013,position,WR,1.3293704949483272,0.057560969205340255
2013,position,C,1.3410194229171857,0.2372635651156147
2013,position,SWR,1.6646074154400636,0.29340564274612013
2014,intercept,home,0.013839383558945564,9.368836816645346e-6
2014,intercept,pass,0.10349918508548347,4.09739044123237e-5
2014,variance,model,0.9904082049411832,2.009559370119017e-5
